,date,home_team,away_team,home_score,away_score,tournament,city,country,score_sum,score_diff
0,1979-07-20,Kyrgyzstan,Lithuania,0,0,Friendly,Moscow,Soviet Union,0,0
1,1979-07-22,Georgia,Lithuania,5,0,Friendly,Moscow,Soviet Union,5,5
2,1979-07-24,Azerbaijan,Lithuania,0,1,Friendly,Moscow,Soviet Union,1,-1
3,1979-07-28,Lithuania,Ukraine,0,2,Friendly,Moscow,Soviet Union,2,-2
4,1979-07-30,Russia,Lithuania,2,0,Friendly,Moscow,Soviet Union,2,2
5,1979-08-01,Belarus,Lithuania,0,2,Friendly,Moscow,Soviet Union,2,-2
6,1979-08-05,Russia,Lithuania,2,1,Friendly,Moscow,Soviet Union,3,1
7,1990-05-27,Georgia,Lithuania,2,2,Friendly,Tbilisi,Soviet Union,4,0
8,1991-11-15,Lithuania,Estonia,4,1,Baltic Cup,Klaipeda,Lithuania,5,3
9,1991-11-17,Lithuania,Latvia,1,1,Baltic Cup,Kretinga,Lithuania,2,0
10,1992-04-14,Austria,Lithuania,4,0,Friendly,Vienna,Austria,4,4
11,1992-04-28,Northern Ireland,Lithuania,2,2,FIFA World Cup qualification,Belfast,Northern Ireland,4,0
12,1992-05-20,Moldova,Lithuania,1,1,Friendly,Chi?in?u,Moldova,2,0
13,1992-06-03,Albania,Lithuania,1,0,FIFA World Cup qualification,Tirana,Albania,1,1
14,1992-07-11,Estonia,Lithuania,1,1,Baltic Cup,Liepoja,Latvia,2,0
15,1992-07-12,Latvia,Lithuania,2,3,Baltic Cup,Liepoja,Latvia,5,-1
16,1992-08-12,Latvia,Lithuania,1,2,FIFA World Cup qualification,Riga,Latvia,3,-1
17,1992-09-02,Lithuania,Georgia,1,0,Friendly,Kaunas,Lithuania,1,1
18,1992-09-23,Lithuania,Denmark,0,0,FIFA World Cup qualification,Vilnius,Lithuania,0,0
19,1992-10-14,Lithuania,Slovakia,0,1,Friendly,Vilnius,Lithuania,1,-1
20,1992-10-28,Lithuania,Latvia,1,1,FIFA World Cup qualification,Vilnius,Lithuania,2,0
21,1993-02-20,Latvia,Lithuania,1,2,Friendly,Vantaa,Finland,3,-1
22,1993-02-21,Finland,Lithuania,3,0,Friendly,Vantaa,Finland,3,3
23,1993-02-24,Spain,Lithuania,5,0,FIFA World Cup qualification,Seville,Spain,5,5
24,1993-03-30,Slovakia,Lithuania,2,2,Friendly,Dunajsk� Streda,Slovakia,4,0
25,1993-03-31,Poland,Lithuania,1,1,Friendly,Brzeszcze,Poland,2,0
26,1993-04-14,Lithuania,Albania,3,1,FIFA World Cup qualification,Vilnius,Lithuania,4,2
27,1993-05-18,Lithuania,Ukraine,1,2,Friendly,Vilnius,Lithuania,3,-1
28,1993-05-25,Lithuania,Northern Ireland,0,1,FIFA World Cup qualification,Vilnius,Lithuania,1,-1
29,1993-06-02,Lithuania,Spain,0,2,FIFA World Cup qualification,Vilnius,Lithuania,2,-2
30,1993-06-16,Lithuania,Republic of Ireland,0,1,FIFA World Cup qualification,Vilnius,Lithuania,1,-1
31,1993-07-03,Latvia,Lithuania,0,0,Baltic Cup,Pernu,Estonia,0,0
32,1993-07-04,Estonia,Lithuania,2,1,Baltic Cup,Pernu,Estonia,3,1
33,1993-08-25,Denmark,Lithuania,4,0,FIFA World Cup qualification,Copenhagen,Denmark,4,4
34,1993-09-08,Republic of Ireland,Lithuania,2,0,FIFA World Cup qualification,Dublin,Republic of Ireland,2,2
35,1994-04-20,Lithuania,Israel,1,1,Friendly,Vilnius,Lithuania,2,0
36,1994-05-25,Czech Republic,Lithuania,5,3,Friendly,Ostrava,Czech Republic,8,2
37,1994-07-29,Lithuania,Estonia,3,0,Baltic Cup,Vilnius,Lithuania,3,3
38,1994-07-31,Lithuania,Latvia,1,0,Baltic Cup,Vilnius,Lithuania,1,1
39,1994-08-17,Sweden,Lithuania,4,2,Friendly,�rebro,Sweden,6,2
40,1994-09-07,Ukraine,Lithuania,0,2,UEFA Euro qualification,Ky�v,Ukraine,2,-2
41,1994-10-09,Croatia,Lithuania,2,0,UEFA Euro qualification,Zagreb,Croatia,2,2
42,1994-11-16,Slovenia,Lithuania,1,2,UEFA Euro qualification,Maribor,Slovenia,3,-1
